# g,r,e,s,t,l,o
-4.205064617423902029e-01,-1.001874152208734658e+00,-8.042323784133578179e-01,-1.274439438561307147e+00,-1.111383990978343617e+00,-1.647571817193057564e-01,-5.943108672590839969e-01
9.099489884083075131e-01,-1.447244359421268944e+00,-3.479374718396425203e-01,1.175729644064039237e+00,4.581239572463843279e-01,1.332218707500357535e+00,9.499930832457527119e-01
2.217288253277525933e-01,9.100358590642050605e-02,4.015734862855692422e-02,3.718190593175927511e-02,4.650907081192794806e-02,1.128233869792148347e+00,3.014446530244893618e-01
1.344036422062956648e-01,-3.606027644160103574e-01,-2.974061796550259706e-01,3.462893431564019187e-01,-4.886735810335565700e-03,-4.199837030297003948e-01,-1.130940037608654386e-01
2.383661573934556521e-01,2.380876844580049889e-01,1.631634480823922762e-01,6.831941935832945845e-01,2.092229303216669445e-01,-1.205795970301923647e+00,2.702016249964220296e-02
1.434458971282111639e+00,5.897103001667527433e-01,1.022527551758188213e+00,7.264743424040549513e-01,1.022404621382309919e+00,1.414645543987031351e+00,5.337337848371793703e-01
5.817852110433734403e-01,1.813017410197391932e+00,1.219946364072692857e+00,1.754900417151590286e+00,1.462707560223588388e+00,6.445417355033997708e-01,1.201976070660717211e+00
1.104636177832529348e-01,-7.359032399133972335e-01,-2.800144017952022057e-01,-3.601680379637259843e-01,-1.806537735900297370e-01,-3.269404169487237222e-01,-3.682774255243241313e-01
-1.484746159344067618e+00,-1.832787460399132595e-01,-7.187817928071889018e-01,-9.673239529678244741e-01,-6.547189900924721417e-01,-4.860157204581307400e-01,-5.574343743153429287e-01
-1.473690418535154312e-01,8.960719888160185720e-01,4.181222646971918810e-01,1.045163593131991808e+00,7.829625918542001406e-01,3.581616635640204604e-01,6.465112840826450213e-01
-4.909460292136649251e-01,-1.151689480809229282e+00,-8.170657898596065394e-01,1.863148225813965997e+00,5.350742311739177248e-01,-3.903716068233710756e-01,8.376054944291926319e-01
-4.101814747566067121e-01,7.606040192560323820e-01,1.269455336239045662e-01,-4.816409565214591071e-01,-1.678031002150198181e-01,3.659616500619123358e-01,-1.548359887450792005e-01
7.742581218084433337e-01,1.634857759605669592e-01,3.869042023593012303e-01,-1.604755792946526427e-01,1.057095022854697142e-01,1.284398161966664453e+00,4.101488038724860896e-01
5.041838667095921434e-01,7.104746461726876294e-01,5.863374589104329848e-01,-7.577331662386264099e-01,-1.935439101719227395e-03,4.640999500374707876e-01,-2.541993554542611444e-01
-1.175843860035903132e+00,1.789989813363709104e+00,2.059270393408004773e-01,3.718371476098035755e-01,1.339989948762808636e-01,7.904193464608914033e-01,4.055218359963785879e-01
2.206192893626234275e-01,3.136532250292058399e-01,1.373792126657718826e-01,1.060806083768537578e+00,5.385383627579872767e-01,-6.693326797663708971e-01,3.212313297972198001e-01
1.001352809070596983e+00,1.267249035524244394e-01,5.957924842230695184e-01,-7.046559062099296833e-01,1.068463203825524011e-01,-4.367359706396972130e-01,-4.909024787253611910e-01
-3.227761930948742641e-01,4.944035223347766905e-01,1.425098914866515520e-01,2.056960255388246672e+00,1.146617173114604871e+00,-8.365757088590621005e-02,1.051219159471808329e+00
1.958586920758232930e+00,1.182191505874012227e+00,1.640106806116710336e+00,2.362143359358780115e-02,7.080404670820186208e-01,-1.505983845236486651e+00,-3.419208840787490988e-01
-7.806751043388314715e-01,1.167004513309402164e-01,-2.503610579755799481e-01,4.821358652522382826e-01,3.502957867721535612e-01,1.852589967339428823e+00,8.336124378047271577e-01
2.401284025769277186e-01,1.443253531000719070e+00,7.046400642604687681e-01,2.332262957844917772e-01,5.858474020740002119e-01,-7.106287663513860542e-02,1.238863019198083726e-01
-9.549546933460555387e-01,-5.370015617707812883e-01,-8.728937972462343931e-01,1.702000656096577469e+00,3.105945386275099085e-01,-2.754959755435014035e+00,2.053020997891135402e-01
-2.290948946424999466e+00,1.070325455564497541e-01,-1.185922135220649709e+00,-2.790346421199325078e-01,-9.786161967515527582e-01,-1.376743966557706145e+00,-3.396207687205841652e-01
2.780069636645390863e-01,6.584514501286687915e-01,4.672926911058213340e-01,2.819547129949504516e-01,5.488404855286934669e-01,1.096812829449304028e+00,4.789471329046790515e-01
-1.255356973356177575e+00,3.055107206766171646e-01,-4.225514226229465375e-01,-7.623519800749111175e-01,-6.559470540510240477e-01,1.428766496482525739e+00,-1.718810088991610738e-02
-2.191183746041235336e-01,-4.803087134706593986e-01,6.916599634645004269e-02,-5.473926839708296299e-01,-3.242858793308067145e-01,4.307516463607665713e-01,-2.046725299315339530e-01
5.985691493637470550e-01,9.501276751319744918e-01,7.085137883796849279e-01,-4.451970186226273385e-01,3.076388584614851984e-01,-4.262294245226711520e-01,-3.115037983633066609e-01
5.129582639154915968e-01,1.228446943997374641e+00,8.052780619508472792e-01,-1.245465209239525528e+00,-2.136942814743681140e-01,-8.508523508085109599e-01,-8.462491515750613091e-01
8.399778918342248879e-01,-1.397773095833211743e+00,-2.416392556150347704e-01,-6.674557299863879134e-01,-3.887461040194145623e-01,1.439825714848641802e-01,-2.661793788133882677e-01
-8.333569695372924357e-01,-1.397669172740425125e+00,-1.207111317318446897e+00,-6.632436505388159542e-01,-9.144349891626072369e-01,-9.363685838786498516e-01,-7.261296874756321129e-01
6.534661840332118832e-01,5.684171678934168276e-02,3.201171291096729377e-01,7.603528938612353905e-01,5.979749765428877817e-01,-3.452313650448805005e-01,2.023814823668095286e-01
-4.332142746087081497e-01,9.545698463724681115e-01,2.544738244367200641e-01,2.000258359058670540e-02,1.830145344224056447e-01,1.227751785672010820e+00,2.953715986239688895e-01
6.285445792678634458e-01,9.388989778245918072e-02,2.096545731872271334e-01,-1.827765656210146306e-01,-1.315695287448329642e-01,-8.652494329729871758e-01,-4.659782713261906850e-01
2.116642323072004672e-01,1.844376945164788451e+00,1.079483390897137962e+00,1.840377192053691324e+00,1.449744530001945586e+00,3.496982561385615362e-01,8.916019729279163197e-01
-8.452713514248302307e-01,-1.571509502775157552e+00,-1.324455946286596575e+00,2.208100956513894472e-02,-5.983470553370670020e-01,-1.756202650515907848e+00,-3.801946960138583576e-01
7.678617978993412807e-01,1.877774541843890033e+00,1.274134442197661699e+00,4.673202859588956870e-01,7.234664107169167524e-01,3.809276016516311980e-01,2.866945489388043056e-01
